en,es
"Waiter, I'd like to order.","Camarero, quiero pedir."
Tom forgot to bring a flashlight.,Tom se olvidó de traer una linterna.
"When I woke up, no-one was at home, and I was abandoned all day.","Cuando desperté, no había nadie en casa, y estuve abandonado todo el día."
You are a good cook.,Eres un buen cocinero.
Be careful what you wish for. It might come true.,"Ten cuidado con lo que deseas, podría hacerse realidad."
"Hail, milord.",Mi señor...
The air in this city is very polluted.,El aire de esta ciudad está muy contaminado.
It's possible that the tardigrades that went to the moon in an Israeli spacecraft are still alive.,Puede que los osos de agua que llegaron a la luna en una nave israelí aún estén vivos.
Three people are absent.,Faltan tres personas.
John has a natural talent for tennis.,John tiene un talento innato para el tenis.
I hope you'll never turn Communist.,Espero que nunca te hagas comunista.
The foods collected will be noted afterward to flood victims.,Los alimentos recaudados serán posteriormente donados a las víctimas de las inundaciones.
Tom put the new tablecloth he had just bought on the table.,Tom puso el mantel nuevo que acababa de comprar en la mesa.
Mary likes Bollywood movies.,A Mary le gustan las películas de Bollywood.
"You can't run, Tom.","No puedes correr, Tom."
"In fact, he looked silly.","De hecho, se veía ridículo."
She is her friend.,Ella es su amiga.
I'm awake.,Estoy despierto.
He won't beat me.,Él no me va a pegar.
We just got married.,Nos acabamos de casar.
"Tomorrow's a new day, the optimist says.","Mañana será otro día, dice el optimista."
This building is new.,Este edificio es nuevo.
The post office is not too far from here.,El correo no está muy lejos de acá.
I want to speak in French.,Quiero hablar francés.
Use this one.,Utilicen esta.
Why do you hate women?,¿Por qué odiáis a las mujeres?
"In Russian, the words for ""caress, endearment"" and ""least weasel"" are homonymous and possibly related etymologically.","En ruso, las palabras para ""caricia, cariño"" y ""comadreja enana"" son homónimas y posiblemente están relacionadas etimológicamente."
We're feeling confident.,Nosotros estamos sintiéndonos seguros.
The students are lazy.,Los estudiantes son flojos.
I don't want to hear any more of your complaining.,No quiero escuchar tus quejas nunca más.
We'll stay here until Monday.,Estaremos aquí hasta el lunes.
Who stopped?,¿Quién se paró?
Are you here on your own?,¿Estás aquí solo?
Are you sure that you haven't forgotten anything?,¿Estás segura de que no te has olvidado de nada?
"If you focus on the lyrics of the song, you realize that they barely make sense, right?","Si te fijas en la letra de la canción, te das cuenta de que apenas tiene sentido, ¿verdad?"
"Whether you like it or not, you'll have to do it.","Tienes que hacerlo, te guste o no."
I need to go to Boston.,Tengo que ir a Boston.
Write down what I am going to dictate.,Escribid lo que voy a dictar.
My mum spoils me.,Mi mamá me mima.
Did you think that was easy?,¿Creíste que era fácil?
Tom says that help is on the way.,Tom dice que la ayuda está en camino.
Who hired you?,¿Quién te contrató?
Let's build something.,Hagamos algo.
I am really sorry to hear that.,Lamento mucho oír eso.
He doesn't listen to me.,Él no me escucha.
It took them some time to get used to each other.,Tardaron un poco de tiempo en acostumbrarse el uno al otro.
I trained with the special forces.,Me entrené con las fuerzas especiales.
That's including taxes.,Lleva tasas incluidas.
"Tomorrow will be the first time I take the plane, incredible, no?","Mañana volaré en avión por primera vez. Increíble, ¿verdad?"
My computer has frozen.,Mi computador se ha congelado.
I've never had that problem.,Nunca he tenido ese problema.
I've never gone fishing at night.,Nunca fui a pescar de noche.
He ate rice twice a day for many years.,Él ha comido arroz dos veces al día durante muchos años.
My mother is out there.,Mi madre está ahí fuera.
Stop bullying me!,¡Dejá de joder!
I want to ask you some questions.,Te quiero hacer algunas preguntas.
"Sleep is the greatest thief, for it steals half one's life.",El sueño es el mayor de los ladrones. Nos roba la mitad de la vida.
"I'm sorry, but that's simply impossible.","Lo lamento, pero eso es simplemente imposible."
I used to play with my sister in the park.,Solía jugar con mi hermana en el parque.
Marry? But you've been dating for less than three months!,¿Casar? ¡Pero están saliendo hace menos de tres meses!
It was just like you said it would be.,Fue justo como dijiste que sería.
A framed photo of my family hangs above my desk.,Una foto enmarcada de mi familia está colgada por encima de mi escritorio.
I visited my father's hometown last summer.,Visité la ciudad natal de mi padre el verano pasado.
She went that way.,Ella se fue para ese lado.
Pull it open.,Ábrela.
Won't they be busy tomorrow?,¿No estarán ocupados el día de mañana?
He only knew how to speak German.,Solo sabía hablar alemán.
I can get a gun for you within five hours.,Te puedo conseguir un arma dentro de cinco horas.
It's a pleasure to watch them play.,Da gusto verlos jugar.
The youth is in love with technology.,La juventud está enamorada de la tecnología.
I don't have a choice.,No tengo opción.
I wear a suit but wear no tie.,"Yo llevo traje, pero no llevo corbata."
She prides herself on her talent.,Está orgullosa de su talento.
We only did it once.,Solo lo hicimos una vez.
"Compared to basketball, baseball might be considered a little slow and boring.","Comparado con el baloncesto, el béisbol quizás se considere un poco lento y aburrido."
I am forbidden to use this telephone.,Tengo prohibido usar este teléfono.
I knew it would happen sooner or later.,Yo sabía que esto pasaría tarde o temprano.
This room will soon heat up.,Esta habitación se calentará pronto.
The President of France will visit Japan next month.,El presidente de Francia visitará Japón el mes que viene.
"Hey, it was huge, wasn't it?","Oye, era gigante ¿eh?"
Tom's car ran out of gas.,Al carro de Tom se le acabó la gasolina.
John played the guitar and his friends sang.,Juan tocó la guitarra y sus amigos cantaron.
We ran after the thief.,Corrimos tras el ladrón.
He who has never left his country is full of prejudices.,El que no ha salido nunca de su país está lleno de prejuicios.
She advised him to drink more milk.,Le aconsejó que tomara más leche.
"Go now, or you'll miss the bus.",Vete ya o perderás el autobús.
My cousin received the call of God and became a priest.,Mi primo recibió la llamada de Dios y se metió de cura.
This is a beautiful flower.,Ésta es una flor hermosa.
I like Boston a lot.,Me gusta un montón Boston.
We're very impressed with your invention.,Estamos muy impresionados por tu invención.
The flights haven't left yet.,Los vuelos aún no han despegado.
Do you know who he was?,¿Sabes quién era él?
You have to read.,Tienes que leer.
I'm going swimming.,Voy a nadar.
Are these your skis?,¿Son estos tus esquíes?
There are many useful appliances in the hardware store.,Hay muchos aparatos útiles en la ferretería.
I can't raise our daughter alone.,No puedo criar yo solo a nuestra hija.
I promised.,Prometí.
People usually become famous at the cost of their privacy.,La gente por lo general se vuelve famosa a costa de su privacidad.
The poor child was on the verge of starvation.,La pobre niña estaba al borde de la inanición.
Where's the sunscreen?,¿Dónde está el bronceador?
"The weather's nice, so I'm going to the pool.","Voy a la piscina, pues hace buen tiempo."
I found it easy when I gave it a try.,Lo encontré fácil cuando lo intenté.
"If not for the storm, I would have arrived earlier.","Si no hubiera sido por la tormenta, habría llegado antes."
Millie has beautiful eyes.,Millie tiene los ojos hermosos.
"I want to go to Boston, too.",Yo también quiero ir a Boston.
Have you ever used a Dvorak keyboard?,¿Has usado alguna vez un teclado Dvorak?
Clap!,¡Aplaudan!
The exam had a separate answer sheet.,El examen tenía una hoja de respuesta aparte.
I'm gonna make my first mischief.,Voy a hacer mi primera travesura.
What is it that you don't know?,¿Qué es lo que no sabes?
"At last, she was able to contact her old friend.","Finalmente, ella pudo contactar a su vieja amiga."
They will drive to London.,Irán en coche a Londres.
I rewrote my report.,Reescribí mi informe.
"Step aside, please.","Hágase a un lado, por favor."
Poverty is no disgrace.,La pobreza no es una deshonra.
The floor was covered with blood.,El suelo estaba cubierto de sangre.
I'm going to take the metro.,Voy a tomar el metro.
I am much obliged to you for your kind help.,Te estoy muy agradecido por tu amable ayuda.
I'm anxious to meet her.,Estoy ansioso de conocerla.
She bore herself gracefully.,Ella se desenvolvió con gracia.
Do you want to eat prawns?,¿Quieres comer camarones?
I'd never heard that joke before.,Nunca he oído ese chiste antes.
They should have a noble mind.,Ellos debieron haber tenido una mente noble.
"What makes us free is the money, not the law.","Lo que nos hace libres no es la ley, sino el dinero."
I never would've imagined it.,Nunca lo habría imaginado.
The cat is under the chair.,La gata está bajo la silla.
He is not mature enough to live alone.,Él no es lo suficiente mayor para vivir solo.
I'm afraid of the bus.,El autobús me da miedo.
I met Tom in front of the store.,Me encontré con Tom en frente de la tienda.
All you have to do is apologize for being late.,Todo lo que tienes que hacer es pedir perdón por llegar tarde.
The girl smiled at me.,La niña me sonrió.
He hid his emotions and pretended to be enthusiastic.,Ocultó sus sentimientos y fingió estar entusiasmado.
We'll never get through this.,Nunca lo superaremos.
She drives a BMW.,Ella conduce un BMW.
Do you want to live in Germany?,¿Querés vivir en Alemania?
You were on that road at the wrong time.,Estuviste en ese camino en el momento equivocado.
I got myself into a mess.,¡Me metí en un lío!
I haven't done that.,Yo no he hecho eso.
I have complete faith in his abilities.,Tengo absoluta fe en sus capacidades.
I didn't think Tom would get here in time.,No creí que Tom llegaría a tiempo.
"You like classical music, don't you?","Te gusta la música clásica, ¿no?"
How did you know we were here?,¿Cómo supisteis que estábamos aquí?
I hate the weather here.,Detesto el tiempo que hace aquí.
I'm going to study.,Voy a estudiar.
Tom took Mary to the hospital on the back of his motorcycle.,Tom llevó a María al hospital en la parte trasera de su motocicleta.
His blackmail left me no choice.,Su chantaje me dejó sin elección.
My mother is busy planting flowers in the garden.,Mi madre está ocupada plantando flores en el jardín.
It's getting hotter.,Empieza a hacer más calor.
Bring your student ID!,¡Tráete el carnet de estudiante!
I am able to read English.,Yo puedo leer en inglés.
Ruben has three sons.,Rubén tiene tres hijos varones.
"The four seasons of the year are spring, summer, autumn, and winter.","Las cuatro estaciones del año son primavera, verano, otoño e invierno."
We kill time; time buries us.,Matamos el rato; el tiempo nos entierra.
Try to do better in the future.,Procure usted hacerlo mejor en el futuro.
Are you proud of your father?,¿Están orgullosas de su padre?
It could be a serious problem.,Puede ser un problema grave.
What a weird noise!,¡Qué ruido extraño!
Heat is a form of energy.,El calor es una forma de energía.
Don't you have a meeting?,¿No tenés una reunión?
The graph is misleading.,El gráfico es engañoso.
She was only half alive.,Solo estaba medio muerta.
I'll ring back at midday.,Volveré a llamar al mediodía.
I couldn't do it better.,No podría hacerlo mejor.
We had a storm yesterday.,Tuvimos una tempestad ayer.
Bill brought me a glass of water.,Bill me trajo un vaso de agua.
The hard disk was completely destroyed.,El disco duro fue completamente destruido.
They don't despise you.,No os desprecian.
Is there a toilet near here?,¿Hay un baño cerca de aquí?
I heard that you are great in long distance races.,Me han dicho que eres una corredora de fondo muy buena.
She leaped from her chair.,Ella saltó de su silla.
No one wants to talk to Tom anymore.,Nadie quiere hablar más con Tom.
I accept your terms.,Acepto tus condiciones.
We must have accountability.,Debemos tener responsabilidad por nuestras acciones.
He swept his brush across the canvas.,Él pasó su cepillo por toda la lona.
Tom lies to Mary all the time.,Tom le miente a Mary todo el tiempo.
Tom uncorked the wine.,Tom descorchó el vino.
We can't work without electricity.,No podemos trabajar sin energía eléctrica.
There's room for eight people in this elevator.,Caben ocho personas en este ascensor.
Leave town.,Abandona la ciudad.
Tell me what you want for Christmas.,Dime lo que quieres por Navidades.
She burst into the room.,Ella irrumpió en la habitación.
"They've listed everything, haven't they?","¿Enumeraron todo, no?"
The room is furnished with two beds.,La habitación está amueblada con dos camas.
I did it for Tom.,Lo hice por Tom.
She isn't married.,No está casada.
The terrorists released the hostages.,Los terroristas liberaron a los rehenes.
Tom doesn't want to marry Mary.,Tom no quiere casarse con Mary.
Tom is romantic.,Tom es romántico.
I enjoy being a teacher.,Disfruto ser profesor.
You're very smart.,Son muy inteligentes.
Why do you think that she would do something like that?,¿Por qué cree usted que ella haría algo así?
Will this help them?,¿Los ayudará esto?
We eat here since that table is occupied.,Comemos aquí ya que aquella mesa está ocupada.
That sounds pretty stupid.,Suena bastante estúpido.
You've done a wonderful job.,Has hecho un trabajo maravilloso.
Tom is supposed to go to school today.,Tom se supone que debe de ir al colegio hoy.
"When you watch television or listen to the radio, the music which you hear is often African in origin.","Cuando ves televisión o escuchas a la radio, la música que oyes a menudo es de origen africano."
He's going to spend some time in jail.,Pasará un tiempo en la cárcel.
Tom is the best there is.,Tomás es el mejor del mundo.
I don't think it's weird at all.,No creo que sea raro en absoluto.
The jet plane had 500 passengers on board.,El avión tenía 500 pasajeros a bordo.
You're not in China.,No estáis en China.
You don't agree with me?,¿No estás de acuerdo conmigo?
I didn't think the jokes Tom told were funny.,No creí que los chistes que Tom contó eran graciosos.
Do you understand the difference?,¿Entendés la diferencia?
Ken still hasn't washed the car.,Ken todavía no ha lavado el coche.
It uses solar power.,Usa energía solar.
I don't care what they say.,No me importa lo que digan.
I wasn't even there.,Ni siquiera estuve ahí.
I can't wait until tomorrow.,No puedo esperar hasta mañana.
Time travel is impossible.,Viajar en el tiempo es imposible.
Tell me what movies you guys have seen.,Decidme qué películas habéis visto.
"If you happen to hear of anybody that wants to buy a house, please let me know.","Si por casualidad oyes de alguien que quiera comprar una casa, por favor avísame."
I know Tom was tired.,Sé que Tom estaba cansado.
She doesn't want him to go to Boston.,Ella no quiere que él vaya a Boston.
"I'm not going to be at school tomorrow, I'm going to be in Madrid.",No voy a estar en la escuela mañana. Voy a estar en Madrid.
Would you rather not stay?,¿Preferirías no quedarte?
Tom will eat as soon as he gets home.,Tomás comerá tan pronto como llegue a casa.
The high school was closed for a day because of the snow.,El colegio estuvo cerrado por un día a causa de la nieve.
My girlfriend has gone to Canada.,Mi novia ha ido a Canadá.
How high is that mountain?,¿Qué tan alta es aquella montaña?
"Do you mind if I smoke? ""Certainly not.""","¿Te molesta si fumo? ""Por supuesto que no."""
No one would blame you if you left right now.,Nadie te culparía si te fueras ahora mismo.
This is a very small book.,Este es un libro muy pequeño.
Cabbage will change your life.,El repollo te cambiará la vida.
What's the name of Tom's dog?,¿Cómo se llama el perro de Tom?
Tom had no one to tell his story to.,No hubo nadie a quien Tom pudo contar su historia.
I will be back by nine.,Volveré antes de la nueve.
Look not at the package but what's in it.,No juzgues un libro por su cubierta.
"If I had enough money, I would buy that nice car.","Si tuviera dinero suficiente, me gustaría comprar ese lindo coche."
I'm putting my shoes on.,Me estoy calzando.
I put my pens in the drawer.,Guardé mis bolígrafos en el cajón.
Tom couldn't contact Mary.,Tom no pudo contactar a Mary.
He's the only one who still has fun here.,Él es el único que todavía se divierte aquí.
I don't know his motives.,Desconozco su motivación.
"Thanks, Mom.","¡Gracias, mamá!"
"Booze is the answer, but now I can't remember the question.","El copete es la respuesta, pero ahora no puedo recordar la pregunta."
We meet him on occasion at the club.,Nos encontramos con él de vez en cuando en el club.
You should learn from your mistakes.,Aprende de tus errores.
She came!,¡Ella vino!
I've just heard a disturbing rumor.,Acabo de oír un rumor inquietante.
That would be a problem.,Eso sería un problema.
Tom doesn't have enough money.,Tom no tiene suficiente dinero.
Wilson felt very happy.,Wilson se sintió muy feliz.
I like my job very much.,Me gusta mucho mi trabajo.
He ate a box of chocolates.,Él se comió una caja de chocolates.
They got married three months ago.,Se casaron hace tres meses.
You shall have a nice cake.,Tú harás una buena torta.
I doubt his ability to do the job.,Dudo de su capacidad de hacer el trabajo.
I am the fastest runner.,Soy el corredor más rápido.
I looked for the book for an hour.,Estuve buscando el libro durante una hora.
Do your parents know you're here?,¿Saben tus padres que estás aquí?
Who would you like to speak with?,¿Con quién te gustaría hablar?
I greatly appreciate your kindness.,Agradezco mucho su amabilidad.
What do you think now?,¿Qué estás pensando?
He's head over heels in love.,Está enamorado hasta la médula.
Tom has no money.,Tom no tiene dinero.
I can run as fast as Bill.,Puedo correr tan rápido como Bill.
All had voted for Aaron Burr.,Todos habían votado por Aaron Burr.
People don't understand the usefulness of uselessness.,La gente no conoce la utilidad de la inutilidad.
It's presumptuous for humans to assume that our task is to do what only God can do.,Para los humanos es presuntuoso asumir que nuestra tarea es hacer lo que solo Dios puede hacer.
Tom died of hunger.,Tom murió de hambre.
Let's go eat at that restaurant another day.,Vamos a comer en ese restaurante otro día.
Stop all the fuss!,¡Deja de hacer ruido!
Who is this man?,¿Quién es este hombre?
I'm also taking this train.,Yo también tomo este tren.
Why do you study French?,¿Por qué estudias francés?
At least he will have a salary without work.,Al menos va a tener un salario sin tener que trabajar.
Do you work every day?,¿Trabajas todos los días?
They will help.,Ellas ayudarán.
When was this song released?,¿De cuándo es esa canción?
Just try to relax.,Intenta relajarte.
How could you do this to me after everything we've been through together?,¿Cómo pudiste hacerme esto después de todo lo que hemos pasado juntos?
Someone told you something.,Alguien te dijo algo.
He gave her a diamond bracelet.,Le regaló una pulsera de brillantes.
How bad was the damage?,¿Qué tan malo fue el daño?
This car is used by my father.,Este coche lo usa mi padre.
That will be all for today.,Eso será todo por hoy.
I wanted to go abroad.,Quería irme al extranjero.
Give me a glass of milk.,Dame un vaso de leche.
Dark humor helps me get over tough times.,El humor negro me ayuda a superar los malos momentos.
She likes classical composers such as Beethoven and Bach.,A ella le gustan los compositores de música clásica como Beethoven o Bach.
I don't think it's that simple.,Yo no lo veo tan sencillo.
Do you have a camera?,¿Tienes una cámara?
I have a wife.,Tengo una mujer.
Can we save the planet?,¿Podemos salvar el planeta?
This is extremely confidential.,Esto es extremadamente confidencial.
Pay what you can.,Paga lo que puedas.
Is the bath clean?,¿Está limpio el baño?
Speak of the devil and he is sure to appear.,"No invoques al diablo, porque puede aparecer."
You can't trust computer translation.,No puedes confiar en la traducción de computadora.
Tom saw right through Mary.,Tom vio a través de Mary.
We got to know each other rather well on our recent trip.,Nos llegamos a conocer bien en un viaje reciente.
I just need some sleep.,Solo necesito dormir un poco.
"We can't live on 150,000 yen a month.",No podemos vivir con 150.000 yenes al mes.
These boys are brothers.,Estos chicos son hermanos.
It's Saturday today.,Estamos a sábado.
Everyone always speaks well of Tony.,Todo el mundo habla siempre bien de Tony.
I will finish my homework by nine.,Terminaré los deberes a las nueve o antes.
Have you finished reading the book?,¿Terminaste de leer el libro?
Please buy a few apples.,"Por favor, compra algunas manzanas."
He attended the meeting in spite of illness.,Asistió a la reunión a pesar de su enfermedad.
Would you like to have supper with us on the weekend?,¿Le gustaría cenar con nosotros el fin de semana?
He gave away his whole fortune.,Se ha desprendido de toda su fortuna.
"Work hard, or you'll have to take the same course again next year.","Trabaja duro, o si no, tendrás que tomar el mismo curso otra vez el próximo año."
A cat was sitting on the chair.,Un gato estaba sentado en la silla.
I just hate when that happens.,Simplemente odio cuando eso ocurre.
Let me congratulate you on your success.,Permítame felicitarla por su éxito.
"It's strange, but that's how it is.","Es extraño, pero es así."
Tom was hurt.,Tom fue herido.
American kitchens are much bigger than Japanese ones.,Las cocinas americanas son mucho más grandes que las japonesas.
"Dan beat up Linda's brother, Matt.","Dan le dio una paliza a Matt, el hermano de Linda."
Tom tipped the cab driver.,Tom le dio propina al taxista.
She is envious of my success.,Ella tiene envidia de mi éxito.
Just take your pick.,Haz tu elección.
Have you heard from him?,¿Has oído de él?
Do you have a complaint to make?,¿Tienes alguna queja que hacer?
He wanted to know more about the flowers.,Él quería saber más de las flores.
The side of the house was covered with ivy.,El lateral de la casa fue cubierto con hiedra.
We managed to swim across the river.,Conseguimos cruzar el río a nado.
I could not make myself understood in English.,No pude hacerme entender en inglés.
I do see them.,Sí que los veo.
This was a mistake.,Esto fue un error.
Tom is faster than you think.,Tomás es más rápido de lo que pensás.
Esperanto helped me broaden my intellectual and cultural horizons.,El esperanto me ayudó a expandir mis horizontes intelectuales y culturales.
Please turn around and look at me.,Por favor vuélvete y fíjate en mí.
You shouldn't go.,No deberíais ir.
They drink a lot of lemonade.,Ellos beben mucha limonada.
I can still do that pretty well.,Aún lo puedo hacer razonablemente bien.
She didn't want to fight no more.,Ella no quería pelear más.
He raised his hands.,Él levantó las manos.
Where is the cat?,¿Dónde está el gato?
It is a typical Gothic church.,Es una típica iglesia gótica.
I know you're in love with me.,Sé que usted está enamorado de mí.
Of course our lifestyle is different from the one in America.,Por supuesto que nuestro estilo de vida es diferente al de América.
Some dogs are very smart.,Algunos perros son muy listos.
The Sahara is the largest desert in the world.,El Sahara es el mayor desierto del mundo.
She took the towel and dried her hands.,Cogió la toalla y se secó las manos.
I do know how it's going to end.,Sí sé cómo acabará.
You may go as long as you come home early.,"Puedes ir, siempre y cuando regreses temprano a casa."
Let's go in here and have a cup of coffee.,Entremos aquí a tomarnos una taza de café.
"No, thank you. I'm full.","No, gracias. Estoy llena."
When was the last time you ate shrimps?,¿Cuándo fue la última vez que ustedes comieron langostinos?
No sentences added yet.,Aún no se han añadido oraciones.
I don't think I got a good grade on the exam.,No creo que saque buena nota en el examen.
Many things can be bought at the market.,En el mercado pueden comprarse muchas cosas.
Have they gone mad?,¿Se volvieron locos?
You should not give up hope.,No deberíais perder la esperanza.
Where's the map?,¿Dónde está el mapa?
I didn't expect to be so successful.,No esperaba tener tanto éxito.
"One more word, and you're dead!","Una palabra más, y estás muerto."
It is a very popular destination for tourists.,Es un destino muy popular para los turistas.
We are human.,Somos humanos.
Everyone is afraid.,Todo el mundo tiene miedo.
Tom noticed Mary's hands shaking.,Tom se dio cuenta de que a Mary le temblaban las manos.
We're planning to go to Australia for our honeymoon.,Estamos planeando ir a Australia para nuestra luna de miel.
I love this word.,Me encanta esta palabra.
Do you want to make some money today?,¿Quieres ganar algo de dinero hoy?
The U.N. building is very impressive.,El edificio de la ONU es muy impresionante.
Father is going to undergo an operation.,Mi padre se va a operar.
Come taste!,¡Ven a degustar!
Check your answer with his.,Comprueba tu respuesta con la de él.
They're unreliable.,Ellos son de poca confianza.
Are you logged in?,¿Has iniciado sesión?
The information is relevant.,La información es pertinente.
"Seven dollars, please.","Siete dólares, por favor."
The earth revolves on its axis once every 24 hours.,La Tierra gira alrededor de su eje una vez cada 24 horas.
Are you in China?,¿Estás en China?
Almost everyone arrived on time.,Casi todos llegaron a tiempo.
We watched the movie and then had dinner together.,Miramos la película y después cenamos juntos.
This desk is better than that one.,Este escritorio es mejor que ése.
I need a little help.,Necesito un poco de ayuda.
A plane is flying above the city.,Un avión está sobrevolando la ciudad.
It's a fort built to defend the town from invasion.,Es un fuerte construido para defender la ciudad de la invasión.
"I can't help you. As a matter of fact, I'm very busy just now.","No puedo ayudarte. De hecho, estoy muy ocupado en este momento."
It must've been very difficult for you.,Debe de haberos sido muy difícil.
Everybody loves her.,Todo el mundo la quiere.
She does not have the money for buying a new car.,Ella no tiene dinero para comprarse un coche nuevo.
I found the key I was looking for.,Encontré la llave que estaba buscando.
The doctor says that Tom is going to be all right.,El médico dice que Tom va a estar bien.
My hobby is playing the guitar.,Mi hobby es tocar la guitarra.
Stars shine brighter in the darkness.,Las estrellas brillan con más fuerza en la oscuridad.
They said they'd sign the contract.,Dijeron ellos que firmarían el contrato.
"The more one has, the more one desires.","Cuando más tenés, más querés."
I'll pay you a visit at your house tomorrow.,Te haré una visita a tu casa mañana.
Our car is being repaired at the auto shop.,Están reparando nuestro coche en el taller.
He's good at this sort of thing.,Él es bueno en esta clase de cosas.
I thought you weren't going to do this again.,Pensé que no ibas a hacer esto otra vez.
I don't want glory or fame. My goal is success and happiness for my friends and family.,No busco gloria ni fama. Mi objetivo es el éxito y la felicidad de mis amigos y familiares.
It wasn't real love.,Esto no era amor verdadero.
It just feels different.,La sensación es simplemente distinta.
Tom was working as an interpreter last summer.,Tom estuvo trabajando como intérprete el verano pasado.
He still didn't realize that the world changed.,Él todavía no se dio cuenta que el mundo cambió.
What the hell are you talking about?,¿De qué diablos estás hablando?
Your advice has been of great help.,Tu consejo ha sido de gran ayuda.
Then let us begin.,"Entonces, ¡comencemos!"
It takes time.,Lleva tiempo.
Tom is relaxed.,Tom está relajado.
You can count on him.,Podés fiarte de él.
Tomorrow is her birthday.,Mañana es su cumpleaños.
It'll rain again this afternoon.,Esta tarde lloverá otra vez.
I'm old enough.,Soy suficientemente mayor.
I'd like some more butter.,Quisiera un poco más de mantequilla.
I want to look pretty!,¡Quiero verme bonita!
I can still do that pretty well.,Todavía lo puedo hacer bastante bien.
"The mind is a good servant, but a poor master.","La mente es un buen sirviente, pero un mal maestro."
He is not honest at all.,Él no es nada honesto.
And what's your problem?,¿Y cuál es tu problema?
I have to fix the washing machine.,Tengo que arreglar el lavarropa.
Do I need a tie?,¿Necesito una corbata?
They have already finished the work.,Ellos ya terminaron el trabajo.
You'd better not go out today.,Mejor no hubieras salido hoy.
I often ate curry in Japan.,Yo a menudo comía curry en Japón.
Why is the soap on the table?,¿Por qué está el jabón sobre la mesa?
It is absurd to divide people into good and bad. People are either charming or tedious.,Es absurdo dividir a las personas entre buenas y malas. Las personas son o encantadoras o aburridas.
Voting is a civic duty.,Votar es un deber cívico.
I'll take a cup of tea.,Tomaré una taza de té.
We're also invited.,También estamos invitados.
He outweighs me by 10 kg.,Él pesa 10 kilos más que yo.
Tom pledged his continued support.,Tom dio su palabra sobre su continuo apoyo.
He's a misogynist.,Es un misógino.
She called him a liar.,Ella le llamó mentiroso.
Sorry. The train was late.,Lo siento. El tren llegó con retraso.
What do you do?,¿A qué te dedicas?
My brother lives in a small village.,Mi hermano vive en un pueblo pequeño.
You told Mary the whole story.,Le contaste a Mary la historia completa.
The man is right.,El hombre lleva razón.
I forgot it.,Lo olvidé.
There is no harm in you sleeping late on Sunday.,No hay nada de malo con que duermas hasta tarde los domingos.
Tom knows we aren't busy.,Tom sabe que nosotros no estamos ocupados.
It could be a hoax.,Podría ser un engaño.
I ran up the stairs.,Subí corriendo las escaleras.
"When you start to swim, go like this.","Cuando empiece usted a nadar, hágalo así."
When do you go to bed?,¿Cuándo te vas a acostar?
I don't want to be a teacher.,No quiero ser profesor.
It's our only chance.,Es nuestra única oportunidad.
The highest peak is Everest.,La cumbre más alta es el Everest.
I hope the fog will go away soon.,Espero que la niebla se vaya pronto.
I gave her her part.,Le di su parte a ella.
They are teachers.,Ellos son profesores.
Where is the boy?,¿Dónde está el chico?
Tom opened the door and walked in.,Tom abrió la puerta y entró.
Australian women are very beautiful.,Las mujeres australianas son muy bellas.
I met him on the street by chance.,Me lo encontré de casualidad por la calle.
She gave him a slap in the face.,Le dio una bofetada.
I like to eat apples.,Me gusta comer manzanas.
Tom can't beat both of us.,Tom no puede vencernos a ambos.
Do you want anything else?,¿Querés algo más?
Save yourself!,¡Sálvate!
Sentence changed according to the suggestion.,Frase modificada según lo sugerido.
This is the first time I've ever memorized a poem.,Es la primera vez que he memorizado un poema.
I've already eaten enough.,Ya he comido bastante.
I don't know what year he was born.,No sé en qué año nació él.
Yanni's motivation was fueled even further.,La motivación de Yanni se avivó todavía más.
"This is for you, Tom.","Esto es para ti, Tom."
Tom ate in silence.,Tom comía en silencio.
I can't believe you told them.,No puedo creer que les contaste.
Layla doesn't shower with her hijab on.,Layla no se ducha con el hiyab puesto.
Do you have a good salary?,¿Tienes un buen salario?
I think it's somewhere around here.,Creo que está por aquí.
How far is it from here to your house?,¿A qué distancia está tu casa?
I can't really be certain that Tom didn't take the money.,"En efecto, no puedo estar seguro de que Tom no haya tomado el dinero."
Tom wants a bicycle.,Tom quiere una bicicleta.
"I was unable to attend the party, nor did I want to.","No pude asistir a la fiesta, y tampoco quería."
Everyone is special.,Todos son especiales.
How did he work out the big problem?,¿Cómo resolvió el gran problema?
What in the hell are you doing in my room?,¿Qué diablos estás haciendo en mi cuarto?
I heard it on the radio.,Oí eso por la radio.
Tom wants you to kill Mary.,Tom quiere que mates a Mary.
I put the book that I borrowed from you the other day on your desk.,Dejé en tu mesa el libro que te pedí prestado el otro día.
Equality is guaranteed by the Constitution.,La igualdad es garantizada por la constitución.
Tell them to help me.,Diles que me ayuden.
Tom helped Mary set the table.,Tom le ayudó a Mary a poner la mesa.
I've just been to my uncle's house.,Acabo de estar en la casa de mi tío.
You can't be happy all the time.,No pueden ser felices todo el tiempo.
We have to wake up.,Tenemos que despertarnos.
Is this really French?,¿Es esto realmente francés?
She says there's something under the bed.,Ella dice que hay algo debajo de la cama.
You can do it now.,Puedes hacerlo ahora.
Is eating with chopsticks difficult?,¿Es difícil comer con palillos?
I don't feel like eating today.,Hoy no tengo ganas de comer.
A large machine is moving in the sky.,Una gran máquina se mueve en el cielo.
She was always late.,Ella siempre llegaba tarde.
"You know, I've never seen you with a guy before.","Sabes, nunca antes te había visto con un chico."
The recoil reduces the weapon's accuracy.,El culatazo reduce la precisión del arma.
