english,hindi
Did you hear my son play the violin?,क्या तुमने मेरे बेटे को वायोलिन बजाते हुए सुना है?
Did you hear my son play the violin?,क्या आपने मेरे बेटे को वायोलिन बजाते हुए सुना है?
What did you do with my pants?,तुमने मेरे पतलून के साथ क्या किया?
What did you do with my pants?,आपने मेरे पतलून के साथ क्या किया?
Did you see my camera?,तुमने मेरा कैमरा देखा क्या?
I believe you like your job.,मुझे लगता है कि तुम्हे तुम्हारा काम अच्छा लगता है।
Did you have a good sleep last night?,तुम कल रात अच्छे से सोये क्या?
Did you study yesterday?,क्या तुमने कल पढ़ाई की?
Did you study yesterday?,क्या आपने कल पढ़ाई की?
Did you study yesterday?,कल पढ़ाई की?
Have you read today's paper?,आज का अख़बार पढ़ा क्या?
Do you like black cats?,क्या आपको काली बिल्लियाँ पसंद हैं?
Do you like black cats?,क्या तुम्हें काली बिल्लियाँ पसंद हैं?
Do you like black cats?,क्या आपको काले बिल्ले पसंद हैं?
Do you like black cats?,क्या तुम्हें काले बिल्ले पसंद हैं?
What do you want to do in the afternoon?,तुम्हे दोपहर में क्या करने का मन है?
You have a good memory.,तुम्हारी याददाश्त अच्छी है।
You are a very good artist.,आप एक अच्छे कलाकार है
Are you interested in flowers?,तुम्हें फूलों में दिलचस्पी है क्या?
Can you hear anything?,कुछ सुनाई दे रहा है?
Can you hear anything?,कुछ सुन सकते हो?
Can you hear anything?,कुछ सुन सकती हो?
How many languages do you speak?,आप कितनी भाषाएँ बोलते हैं?
How many languages do you speak?,आप कितनी भाषाएँ बोलती हैं?
"Which do you like better, music or English?","तुम्हें ज़्यादा क्या पसंद है, संगीत या अंग्रेज़ी?"
"Which do you like better, music or English?","आपको ज़्यादा क्या पसंद आता है, संगीत या अंग्रेज़ी?"
Do you have a pencil?,तुम्हारे पास पेनसिल है क्या?
Who were you waiting for at the station?,तुम स्टेशन पर किसका इंतज़ार कर रहे थे?
Who were you waiting for at the station?,तुम स्टेशन पर किसका इंतज़ार कर रही थी?
Who were you waiting for at the station?,आप स्टेशन पर किसका इंतज़ार कर रहे थें?
You must endeavor to improve your English.,तुम्हें अपनी अंग्रेज़ी सुधारने की कोशिश करनी चाहिए।
"You aren't leaving Japan for good, are you?",तुम हमेशा के लिए तो जापान नहीं जा रहे हो ना?
Did you hear the news on the radio?,तुमने रेडियो पर खबर सुनी क्या?
It is time you should get up.,तुम्हारे उठने का समय हो गया है।
Why do you talk about him as if he were an old man?,तुम उसके बारे में ऐसे बात क्यों करते हो जैसे कि वह बूढ़ा आदमी हो?
Why did you come here this morning?,तुम आज सुबह यहाँ क्यों आए?
Do you watch television?,आप टीवी देखतें हैं क्या?
You should have kept it secret.,तुम्हे इसे राज़ रखना चहिए था।
Were you told to do so?,तुम्हें यह करने के लिए बताया गया था?
It is necessary for you to go there immediately.,तुम्हारे लिए वहाँ तुरन्त जाना अनिवार्य है।
You are wearing your shirt inside out.,तुमने अपनी कमीज़ उलटी पहनी हुई है।
You are wearing your shirt inside out.,तुमने अपनी टी-शर्ट उलटी पहनी हुई है।
Are you for or against this?,आप इसके हित में हैं या नहीं?
Are you the owner of this house?,आप इस घर के मालिक हैं क्या?
What did you do yesterday?,तुमने कल क्या किया?
You must help your mother.,तुम्हे अपनी मां की मदद करनी चाहिए।
You must help your mother.,आपको अपनी मां की मदद करनी चाहिए।
Do you like tea or coffee?,आपको चाय पसंद है या कॉफ़ी?
Do you think we should import rice from the U.S.?,क्या आपको लगता है कि हमे अम्रीका से चावल का आयात करना चाहिए?
You have two flowers.,तुम्हारे पास दो फूल हैं।
You have two flowers.,आपके पास दो फूल हैं।
How many books do you read a month?,तुम एक महीने में कितनी किताबें पढ़ते हो?
What time do you go home?,तुम किस समय घर जाती हो?
What time do you go home?,तुम कितने बजे घर जाते हो?
You say one thing and then act just the opposite.,तुम बोलते एक बात हो और करते दूसरी।
What time did your friend go home?,तुम्हारा दोस्त कितने बजे घर वापस गया था?
Your sister can not speak English.,तुम्हारी बहन अंग्रेज़ी नहीं बोल सकती है।
It's your turn. Please come this way.,तुम्हारी बारी है। इस तरफ़ आओ।
You are correct in your judgement.,आप अपने निर्णय में सही हैं।
I feel like I'm being drawn into your eyes.,मुझे लगता है कि मैं तुम्हारी आँखों में खिंचा जा रहा हूँ।
I'm not saying that your answers are always wrong.,मैं यह नहीं कह रही हूँ कि तुम्हारे उत्तर हमेशा ग़लत होते हैं।
Let me know your address.,मुझे अपना पता बतादेना।
What is your name?,आपका नाम क्या है?
What is your name?,तुम्हारा नाम क्या है?
What's your older sister doing now?,तुम्हारी दीदी अभी क्या कर रही है?
What's your older sister doing now?,आपकी बड़ी बहन अभी क्या कर रही हैं?
Tell me something about your country.,आपके देश के बारे में कुछ बताइए।
Tell me something about your country.,अपने देश के बारे में कुछ बताओ।
Tell me something about your country.,अपने देश के बारे में कुछ बताइए।
Tell me something about your country.,तुम्हारे देश के बारे में कुछ बताओ।
Do people drink tea in your country?,क्या आपके देश में लोग चाय पीते हैं?
Do people drink tea in your country?,क्या तुम्हारे देश में लोग चाय पीते हैं?
What's your favorite food?,तुम्हारा सबसे पसंदीता खाना कौनसा है?
Your plan requires a large amount of money.,तुम्हारी योजना के लिए बहुत सारे पैसे की ज़रूरत है।
You should try to conquer your smoking habit.,तुम्हें अपने सिगरेट पीने पर रोक लगाने की कोशिश करनी चाहिए।
I wish I could speak English like you.,काश मैं आपकी तरह अंग्रेज़ी बोल पाता।
I wish I could speak English like you.,काश मैं आपकी तरह अंग्रेज़ी बोल पाती।
I wish I could speak English like you.,काश मैं तुम्हारी तरह अंग्रेज़ी बोल पाती।
I wish I could speak English like you.,काश मैं तुम्हारी तरह अंग्रेज़ी बोल पाता।
Please show me your notebook.,मुझे अपनी कौपी दिखाईए।
Have your roses come out yet?,तुम्हारे गुलाब खिल गए हैं क्या?
I am afraid I can't help you.,मुझे अफसोस है कि मैं आपकी मदत नहीं कर सकता।
I am afraid I can't help you.,मुझे अफसोस है कि मैं आपकी मदत नहीं कर सकती।
I am afraid I can't help you.,मुझे अफसोस है कि मैं तुम्हारी मदत नहीं कर सकती।
I am afraid I can't help you.,मुझे अफसोस है कि मैं तुम्हारी मदत नहीं कर सकता।
Is your father a teacher?,क्या आपके पिताजी अध्यापक हैं?
Is your father a teacher?,क्या तुम्हारे पिताजी अध्यापक हैं?
Is your father a teacher?,क्या आपके पापा अध्यापक हैं?
Is your father a teacher?,क्या तुम्हारे पापा अध्यापक हैं?
Is your father a teacher?,क्या आपके पिताजी टीचर हैं?
Is your father a teacher?,क्या तुम्हारे पिताजी टीचर हैं?
Is your father a teacher?,क्या आपके पापा टीचर हैं?
Is your father a teacher?,क्या तुम्हारे पापा टीचर हैं?
Is your father a teacher?,तेरा बाप टीचर है क्या?
I was scared that you might leave me.,मुझे डर था कि तुम मुझे छोड़ दोगे।
Do you have any brothers?,तुम्हारे कोई भाई हैं क्या?
I'd like to have a word with you.,मैं तुमसे बात करना चाह्ता हूँ।
I will come with you.,मैं तुम्हारे साथ आऊँगा।
You're a life saver.,तुमने मेरी जान बचाली।
People of your age often have this problem.,तुम्हारी उम्र के लोगों को अक्सर इस तरह की दिक्कत होती है।
"If you act like a fool, you must be treated as such.",अगर तुम मूर्ख की तरह व्यवहार करोगे तो तुम्हारे साथ मूर्ख की तरह का व्यवहार ही होगा।
I was disappointed that you didn't call.,मैं निराश था कि तुमने फ़ोन नहीं किया।
Give up smoking if you want to live long.,अगर लम्बी ज़िन्दगी जीना चाहते हो तो सिगरेट पीना छोड़ दो।
It's all the same to me whether you go or stay.,"तुम जाओ या रहो, मुझे कोई फ़र्क नहीं पड़ता।"
It makes no difference to me whether you are rich or poor.,"तुम अमीर हो या ग़रीब, इससे मुझे कोई फ़र्क नहीं पड़ता।"
Tell me what you are looking forward to.,मुझे बताओ तुम किस चीज़ की आशा कर रहे हो।
There is no necessity for you to do that.,तुम्हें वैसे करने की कोई ज़रूरत नहीं है।
There is no necessity for you to do that.,आप को वैसे करने की कोई ज़रूरत नहीं हैं।
How long has it been since you gave up teaching at that school?,तुम्हे स्कूल में पढ़ाना छोड़े हुए कितना समय हो गया है?
I will help you in selecting the best from these clothes.,मैं तुम्हें इनमें से सबसे अच्छे कपड़े चुनने में मदद करूँगी।
How much time do we have to finish this?,हमारे पास इस काम को खतम करने के लिए कितना समय है?
The man who is standing there is my father.,वहाँ पर खड़े हुए वे मेरे पिता हैं।
What will you be doing at this time tomorrow?,तुम कल इस समय क्या कर रहे होगे?
Tomorrow is my birthday.,कल मेरा जन्मदिन है।
"As a light goes out, so a man dies.","जैसे दीपक बुझता है, वैसे ही आदमी मरता है।"
"I'm sorry, my father is out.","माफ़ कीजिएगा, मेरे पापा अभी घर पर नहीं हैं।"
"Nobody likes him, because he is always blowing his own horn.",उसे कोई भी पसंद नहीं करता क्योंकि वह सारे टाईम अपनी बड़ाई करता रहता है।
I don't care what they say.,वे जो मर्ज़ी कहें मुझे उससे कोई फ़र्क नहीं पड़ता।
"Oh, I do wish I could go to France.","ओह, काश मैं फ़्रान्स जा सकती!"
A politician like that gets my goat.,ऐसे नेताओं पर मुझे गुस्सा आता है।
A politician like that gets my goat.,ऐसे नेता मुझे गुस्सा दिलाते हैं।
A man like that gets on my nerves.,उस तरह का आदमी मुझसे झिलता नहीं है।
Here comes the train!,लो आ गई ट्रेन!
"Oh, no! We're running out of gas.",अरे नहीं! पेट्रोल खतम होने वाला है।
A is 5 times as long as B.,A B से पाँचगुना लम्बा है।
I will be back by nine.,मैं नौ बजे से पहले वापस आ जाऊँगा।
Come to my house at eight.,मेरे घर आठ बजे आना।
Take this medicine every six hours.,इस दवाई को हर छः घंटे लेना।
Please wait for five minutes.,कृपया पाँच मिनट इंतेज़ार करें।
May comes after April.,मई अप्रैल के बाद आता है।
Can you lend me 500 yen?,तुम मुझे पाँच सौ येन उधार दे सकते हो क्या?
It is easy to add 5 to 10.,पाँच से दस को जोड़ना बहुत आसान है।
Run in the 40 meters.,४० मीटर वाली में भागो।
It was not until three days after that I knew she had disappeared.,मुझे तीन दिन बीतने के बाद ही पता चला कि वह लापता थी।
Three men broke out of prison yesterday.,कल तीन आदमी जेल से भाग गए।
I'll be staying here for three months.,मैं यहाँ तीन महीनों के लिए रहूँगा।
Please come again two weeks from today.,आज से दो हफ़्तों के बाद फिरसे आईएगा।
It will go away by itself in two weeks.,वह दो हफ़्तों में अपने-आप चला जाएगा।
"Out of the students, only one had read that book.",विद्यार्थियों में से केवल एक ही ने किताब को पढ़ा था।
I saw him go into the toilet a few minutes ago.,मैंने उसे एक-दो मिनट पहले टॉयलेट में जाते हुए देखा था।
You'll be all right again in a couple of days.,तुम दो तीन दिनों में फिरसे ठीक हो जाओगे।
You'll be all right again in a couple of days.,तुम दो तीन दिनों में फिरसे ठीक हो जाओगी।
May I ask a few questions?,क्या मैं चंद सवाल पूछ सकती हूँ?
I cover twenty miles a day.,मैं रोज़ बीस मील चलता हूँ।
It is next to impossible to see Rome in a day.,रोम एक दिन में देखना असंभव है।
I must buy one.,मुझे एक तो खरीदना ही होगा।
"One lives in Fukuoka, and the others live in Niigata.","एक फ़ुकुओका में रहता है, और बाकी निइगाता में रहते हैं।"
"One lives in Fukuoka, and the others live in Niigata.","एक फ़ुकुओका में रहती है, और बाकी निइगाता में रहते हैं।"
A man appeared at the door.,दरवाज़े पर एक आदमी दिखाई दिया।
Let's get together here once a week.,हमे यहाँ हफ़्ते में एक बार मिलना चाहिए।
Exports in January were up 20% over the same period of last year.,पिछले जनवरी के मुकाबले इस साल निर्यात २० प्रतिशत बढ़ा.
The 1990s began with the Gulf War.,१९९० के दशक की शुरुआत खाड़ी युद्ध से शुरू हुई।
"In 1951, Sister Teresa was sent to Calcutta, then the largest city in India.","१९५१ में सिस्टर टेरेसा को कलकत्ता भेजा गया था, जो उस समय भारत का सबसे बड़ा शहर था।"
I learned to drive a car and got a driver's license when I was eighteen.,जब मैं अठारह साल का था मैंने गाड़ी चलानी सीखी और लाईसेंस बनवालिया।
"In the 1600s, tea was introduced into Europe from India.",१६०० की शतक में चाय को भारत से यूरोप में लाया गया था।
I'm catching the 11:00 train.,मैं ग्यारह बजे की ट्रेन पकड़ रहा हूँ।
Ten years is a long time.,दस साल बहुत लम्बा समय होता है।
You must be back by 10 o'clock.,तुम्हे दस बजे तक वापस आ जाना होगा।
I'll be back at ten.,मैं दस बजे वापस आऊँगा।
Ten houses were burned down.,दस घर जलकर राख हो गए।
One billion people speak English.,सौ अरब लोग अंग्रेज़ी बोलते हैं।
I don't want to spend more than $10.,मैं दस डॉलर से ज़्यादा नहीं खर्चना चाह्ता हूँ।
What do you mean by cultural relativism?,सांस्कृतिक सापेक्षवाद से आपका क्या मतलब है?
"""Road under Repair.""","""सड़क की मरम्मत जारी है।"""
"She said to herself, ""I am very happy.""","उसने अपने आप से कहा: ""मैं बहुत खुश हूँ"""
"The teacher said, ""That's all for today.""","टीचर ने कहा, ""बस आज के लिए इतना ही।"""
"""Get rid of it, of course!"" answered the farmer.","""बिलकुल, उसको फैंक दो!"" किसान ने जवाब दिया."
"""Who is it?"" ""It's me.""","""कौन है?"" ""मैं हूँ"""
"""What shall I do?"" I said to myself.","""क्या करूँ?"" मैंने अपने-आप से पूछा।"
"""Will they go on strike again?"" ""I'm afraid so.""","""वे फिरसे हड़ताल कर सकते हैं क्या?"" ""लगता तो ऐसा ही है।"""
"""Where do you live?"" ""I live in Tokyo.""","""आप कहाँ रहते हैं?"" ""मैं टोक्यो में रहता हूँ"""
"""You are Israel's teacher,"" said Jesus.","""तुम इज़राइल के शिक्षक हो,"" यीशु ने कहाँ।"
Spain has been a democracy since 1975.,स्पेन १९७५ से जनतंत्र रहा है।
Welcome.,आपका स्वागत है।
Welcome.,स्वागतम्।
The trees are green.,पेड़ हरे हैं।
I have no interest in ordinary people.,मुझे साधारण लोगों में कोई दिलचस्पी नहीं है।
"You are not coming, are you?",तुम नहीं आ रहे हो ना?
Will you go by train?,तुम रेलगाड़ी से जाओगे क्या?
I'll make you happy.,मैं तुम्हें खुश करूँगा।
It's up to me whether I kill you or let you live!,"तुम्हें जीने दूँ या मरने दूँ, यह मेरे ऊपर है।"
I am counting on you.,मैं तुमपर भरोसा कर रहा हूँ।
I can't live without you.,मैं तुम्हारे बिना जी नहीं सकता।
I can't live without you.,मैं तुम्हारे बगैर जी नहीं सकती।
The soldier became a teacher.,सैनिक बन गया शिक्षक।
The army has advanced to the river.,सेना नदी तक बढ़ चुकी है।
My brother would often stay up all night.,मेरा भाई अक्सर पूरी रात जागे रहता था।
The police were patrolling the street.,पुलिस ने सड़क पर पहरा लगा दिया था।
It will be dark by the time the police come here.,पुलीस यहां आने तक अँधेरा हो गया होगा।
It will be dark by the time the police come here.,पुलीस यहां आने तक अँधेरा हो जाएगा।
The police are after me.,पुलीस मेरे पीछे पड़ें हैं।
The police are after me.,पुलीस मेरे पीछे पड़ी हैं।
The police still can't point out who committed the crime.,पुलिस को अब तक इस बात की जानकारी नहीं है कि जुर्म किसने किया है।
The police arrested the man who had murdered the girl.,पुलिस ने उस लड़की के क़ातिल को हरासत में ले लिया।
A police officer is talking to her.,एक पुलिस अफ़सर उससे बात कर रहा है।
Policemen work at the risk of their own lives.,पुलिस अफ़सर अपनी जानों को जोखिम में डालकर काम करते हैं।
The shooting started around noon.,गोलीबारी लगभग दोपहर के बारह बजे शुरू हुई।
Never speak ill of others.,दूसरों की बुराई कभी नहीं करनी चाहिए।
It will not be long before we know the result.,नतीजा जानने में अब ज़्यादा देर नहीं लगेगी।
You should hand in your report to me on Monday.,तुम्हे अपनी रिपोर्ट मुझे सोमवार को सौंप देनी चाहिए।
Ken has not washed the car yet.,केन ने अभी तक गाड़ी नहीं धोई है।
"Ken is tall, but I'm not.","केन ऊंचा है, मगर मैं नहीं।"
Ken went to the park to meet Yumi.,केन यूमी से मिलने पार्क में गया।
"Who runs faster, Ken or Tony?","कौन ज़्यादा तेज़ भागता है, केन या टोनी?"
It is not till we lose our health that we realize its true value.,हम जब तक अपना स्वास्थ्य नहीं खो देते हैं तब तक उसकी असली कीमत नहीं पहचानते हैं।
It is not till we lose our health that we realize its true value.,"हम जब तक अपनी सेहत नहीं खो देते हैं, हमे तब तक उसकी असली कीमत नहीं पहचानते हैं।"
International trade is vital for healthy economies.,अंतर्राष्ट्रीय व्यापार मज़बूत अर्थव्यवस्था के लिए आवश्यक है।
Kenji decided to become a cook.,केन्जी ने बावर्ची बनने का निर्णय किया।
Kenji told his friends a story about his trip to India.,केनजी ने उसके दोस्तों को उसके भारत के सफ़र की कहानी सुनाई।
Fighting won't settle anything.,लड़ने-झगड़ने से बात का हल नहीं होगा।
Some people want to amend the constitution.,कुछ लोग संविधान को सुधारना चाहते हैं।
You had better chain up the dog so that he won't bite.,तुम्हें कुत्ते को बांध देना चाहिए जिससे कि वह किसी को काट न ले।
Dogs can swim.,कुत्ते तैर सकते हैं।
Dogs can swim.,कुत्तों को तैरना आता है।
"You keep a dog, don't you?","तुम्हारे पास एक कुत्ता है, है न?"
It appears that he is honest.,वह ईमानदार लगता है।
Look! The book is burning.,देखो! किताब को आग लग गई है।
I'm disappointed with you.,मैं तुमसे निराश हूँ।
A strange man came up to us.,एक अजीब आदमी हमारे सामने आया।
Learn humility.,नम्रता सीखो।
Good luck.,शुभ कामनाएँ।
There is a strange man at the door.,दरवाज़े पर कोई अजीब सा इनसान है।
Haven't you gone too far?,क्या तुम कुछ अधिक नहीं बोल गए?
Saying and doing are two different things.,कहने और करने में बड़ा अंतर है।
Saying and doing are two different things.,कहना और करना अलग-अलग बातें हैं।
"Talking is one thing, doing is another.",बोलने और करने में फ़र्क होता है।
"To say is one thing, and to do is another.",कथनी और करनी में अंतर होता है.
Don't tell me.,मत बताओ।
Don't tell me.,मत बताइए।
Don't tell me.,मुझे मत बताओ।
Don't tell me.,मुझे मत बताइए।
Watch your language.,ज़बान सम्भाल के बात करो।
Watch your language.,ज़बान संभाल।
Watch your language.,ज़बान संभाल के बात कीजिए।
"As the saying goes, ""Nothing ventured, nothing gained.""","एक कहावत है, ""कुछ पाने के लिए कुछ खोना पड़ता है""।"
The ancient Romans founded colonies throughout Europe.,प्राचीन रोमवासी यूरोप में हर जगह उपनिवेश स्थापित करते थे।
The lake is deep here.,झील यहाँ पर बहुत गहरी है।
Will it rain this afternoon?,क्या इस दोपहर बारिश होगी?
Will it rain this afternoon?,क्या आज दोपहर को बारिश होगी?
It is going to rain this afternoon.,आज दोपहर बारिश होने वाली है।
I'm gonna have to call you back.,मुझे तुम्हें वापस बुलाना पड़ेगा।
Speak louder for the benefit of those in the rear.,पीछे बैठे हुए लोगों के लिए थोड़ी ऊँची आवाज़ में बोलो।
Let me congratulate you on your engagement.,आपको आपकी सगाई पर बहुत बहुत बधाईंयाँ।
"Give me your attention, please.",कृपया ध्यान दीजिए।
You don't have to cover your mistake.,तुम्हे अपनी गलती छिपाने की ज़रूरत नहीं है।
I was caught in a traffic jam.,मैं ट्राफ़िक जाम में फँस गया था।
I was caught in a traffic jam.,मैं ट्रैफ़िक जैम में फँस गया था।
Let's keep public places clean.,हमें सार्वजनिक स्थानों को स्वच्छ रखना चाहिए।
"Whatever happens, I'll not tell anybody about it.","मैं किसी को भी नहीं बाताऊँगा, चाहे जो भी हो।"
You will play into their hands.,तुम उनके जाल में फँस जाओगे।
Put it where you like.,जहाँ भी डालना है डालदो।
Put it where you like.,जहाँ भी रखना है रखदो।
Put it where you like.,जहाँ भी घुसाना है घुसा दो।
She said that she was happy.,उसने कहा कि वह खुश थी।
Hiroki was at a loss what to do.,हिरोको को समझ नहीं आ रहा था कि वह क्या करे.
"Two teas and a coffee, please.",दो चाय और एक कॉफ़ी दीजिए।
I want another cup of tea.,मुझे और एक कप चाय चाहिए।
"Some like tea, others prefer coffee.","कुछ लोगों को चाय अच्छी लगती है, और कुछ लोगों को कॉफ़ी।"
Think about it.,सोच लो।
Let's go!,चलो चलें!
The king was deprived of his power.,उस राजा से उसकी ताक़त छीन ली गई।
The people deprived him of his rights.,लोगों ने उस से उसके हकों को छीन लिया.
Black becomes you.,काला रंग तुम पर जँचता है।
Dark clouds were brooding over the city.,शहर के ऊपर काले बादल छा रहे थे।
I have little money now.,अब मेरे पास बहुत थोड़े पैसे हैं।
Nothing but a miracle can save her now.,अब तो उसे कोई चमत्कार ही बचा सकता है।
He is walking now.,वह अब चल रहा है।
I'm satisfied with my current income.,मैं अपनी कमाई से संतुष्ट हूँ।
I'm satisfied with my current income.,मैं अपनी वर्तमान आमदनी से संतुष्ट हूँ।
He's out of town on business.,वे काम से शहर से बाहर गए हुएँ हैं।
He'll become a good husband.,वह एक अच्छा पती बनेगा।
He'll become a good husband.,वे एक अच्छे पती बनेंगे।
I don't feel like eating now.,मुझे अभी खाना खाने का मन नहीं है।
I can't make it this time.,मैं इस बार नहीं आ सकता।
There were two murders this month.,इस महीने दो क़त्ल हुए हैं।
There were two murders this month.,इस महीने दो हत्याएँ हुईं हैं।
I wish I were young.,काश मैं जवान होता!
What movies are playing this week?,इस सप्ताह कौन सी फ़िल्में लगीं हुईं हैं?
I'm at Narita Airport right now.,मैं इस वक़्त नारिता हवाई अड्डे पर हूँ।
Did you feel the earthquake this morning?,तुम्हें आज सुबह भूकम्प महसूस हुआ क्या?
This morning the weather was so bad that I had to take a taxi.,आज सुबह मौसम इतना खराब था कि मुझे टैक्सी लेनी पड़ी।
I leave here at ten-thirty next Sunday.,मैं यहाँ से अगले रविवार को साढ़े दस बजे निकल जाऊँगा।
Will you take us for a drive next Sunday?,हमें अगले हफ़्ते ड्राईव पर लेजाओगे क्या?
Bring your sister next time.,अगली बार अपनी बहन को भी साथ लाना।
Are you busy today?,तुम आज बिज़ी हो क्या?
Are you busy today?,तुम्हारे पास आज समय है क्या?
I don't think I shall get through all this work this afternoon.,मुझे नहीं लगता मैं इतना सारा काम इस दोपहर को खतम कर पाऊँगा।
Today's minimum temperature was 3 °C.,आज का न्यूनतम तापमान तीन डिग्री सेल्सियस था।
I've not read today's paper yet.,मैंने अभी तक आज का अखबार नहीं पढ़ा है।
"Bring me today's paper, please.",कृपया मेरे लिए आज का अख़बार लाना।
His behavior is very odd today.,उसका बर्ताव आज बहुत अजीब है।
Today is my sister's birthday.,आज मेरी बहन का जन्मदिन है।
Today is my sister's birthday.,आज मेरी दीदी का जन्मदिन है।
I have a lot of work to get through today.,मेरे पास आज बहुत काम है।
I'm lucky today.,आज मेरा नसीब अच्छा है।
What seems to be the problem today?,आज क्या समस्या है ?
"It is very cold today, isn't it?",आज बहुत ठंडा है ना?
Apples were on sale today.,आज सेव सस्ते बिक रहे थे।
I don't feel like studying English today.,मेरा आज अंग्रेज़ी पढ़ने का मन नहीं है।
What's the day today?,आज कौनसा दिन है?
"Instead of cleaning the house today, I think I'll take a walk.",मैं आज घर साफ़ करने के बजाय सैर करने जाऊँगी।
I'm in a hurry today.,मैं आज जल्दी में हूँ।
Today is my sixteenth birthday.,आज मेरा सोलहवा जन्मदिन है।
Let's let the workers go home early today.,आज कर्मचारियों को थोड़ा जल्दी घर जाने देते हैं।
It's hot today.,आज मौसम बहुत गरम है।
It's rather cold today.,आज मौसम काफ़ी ठंडा है।
Is anyone absent today?,क्या आज कोई अनुपस्थित है?
Is anyone absent today?,आज कोई है जो नहीं आया है?
It is essential to have good command of English nowadays.,आजकल अंग्रेज़ी अच्छे से बोलना जानना बहुत ज़रूरी है।
It isn't raining much this year.,इस साल ज़्यादा बारिश नहीं हो रही है।
I'll call him tonight.,आज रात को मैं उसे फ़ोन करूँगा।
I have no place to sleep tonight.,मेरे पास आज रात सोने के लिए जगह नहीं है।
Will you go to the party tonight?,तुम आज रात पार्टी में जाओगे क्या?
The trouble is that they have no time.,मुश्किल यह है कि उनके पास समय नहीं है।
Drop me a line when you are in trouble.,अगर कोई भी दिक्कत हो तो मुझसे कहना।
"Turning to the left, you will find the post office.",बाईं तरफ़ को मुड़ोगे तो तुम्हें डाक घर नज़र आएगा।
Add a little sugar and cream.,थोड़ी शक़्क़र और मलाई डालो।
Don't confuse sugar with salt.,शक्कर को नमक मत समझ बैठो।
Sugar dissolves in hot coffee.,चीनी गरम कॉफ़ी में घुल जाती है।
Sugar dissolves in hot coffee.,चीनी गर्म कॉफी में घुल जाती है।
Few students use pencils these days.,आजकल बहुत कम विद्यार्थी पेनसिल इस्तेमाल करतें हैं।
Could I be going soft in the head? I forget things so easily these days.,शायद मैं सटिया गया हूँ। आजकल चीज़ें इतनी आसानी से भूल जाता हूँ।
I haven't seen Tom lately.,मैंने टॉम को हाल में नहीं देखा है।
Nowadays nobody believes in ghosts.,आजकल कोई भी भूत-प्रेत में विश्वास नहीं करता।
We haven't seen her of late.,हमने उसे हाल ही में देखा नहीं हैं।
We haven't seen her of late.,हमने उन्हें हाल ही में देखा नहीं है।
Whoever comes first will get the best seats.,जो भी पहले आएँगे उन्हें सबसे अच्छी सीटें मिलेंगीं।
My wife has just cleared the table.,मेरी बीवी ने अभी-अभी मेज़ को साफ़ किया है।
"Much as I admire him as a writer, I don't like him as a man.","मैं लेखक के तौर पर उनका आदर करता हूँ, पर इनसान के तौर पर उन्हें पसंद नहीं करता।"
Workers must have their hair cut short.,कर्मचारियों को अपने बाल छोटे कटाने होते हैं।
"The bat was stolen yesterday, along with the balls.",बैट और बॉल दोनो कल एकसाथ चोरी हो गए।
A big earthquake occurred in India yesterday.,भारत में कल एक बड़ा भूकम्प हुआ था।
I met Ken yesterday.,मेरी केन से कल मुलाकात हुई थी।
If only I had known the answer yesterday!,काश मुझे यह जवाब कल पता होता!
Only yesterday did I know the fact.,मुझे कल ही असलियत का पता चला।
How did Barbara do on her driver's test yesterday?,कल बारबरा की गाड़ी चलाने की परीक्षा कैसी गई?
Yesterday was my birthday.,कल मेरा जन्मदिन था।
There weren't any children in the park yesterday.,कल पार्क में एक भी बच्चा नहीं था।
The water was cut off yesterday.,पानी कल बंद हो गया था।
It was Tom that broke the window yesterday.,कल जिसने खिड़की तोड़ी थी वह टॉम था।
Yesterday we went into a huge maze.,कल हम एक बड़े से भूलभुलैया में गए थे।
I had a letter from her yesterday.,मेरे पास कल उसकी एक चिट्ठी आई।
I bought a book yesterday.,मैंने कल एक किताब खरीदी थी।
You should have come yesterday.,तुम्हे कल आना चाहिए था।
I wrote a love letter last night.,मैंने कल रात एक प्रेम पत्र लिखा था।
Last night I was caught in a shower and got wet to the skin.,कल रात मैं बारिश में फंस गया और तर तर भीग गया।
What happened last night?,कल रात क्या हुआ?
It was raining last night.,कल रात बारिश हो रही थी।
It was raining last night.,कल रात बरसात हो रही थी।
We had heavy rainfall last night.,हमारे यहाँ कल रात भारी बरसात हुई थी।
It has been raining for three days on end.,लगातार तीन दिनों से बारिश हो रही है।
Mr. and Mrs. Yamada will come home next month.,श्रिमान और श्रिमती यामादा अगले महीने घर आएंगे।
I fear so.,"खेद की बात है, लेकिन वैसा ही है।"
It's April first.,आज एक अप्रैल है।
My sister always keeps her room clean.,मेरी बहन अपने कमरे को हमेशा साफ़-सुथरा रखती है।
My sister likes sweets.,मेरी बहन को मिठाईयाँ पसंद हैं।
It is dangerous for children to play in the street.,रास्ते पर खेलना बच्चों के लिये खतरनाक होता है।
